countryName,IU11,GDP11,GDP_PC11,GDP_PC_Growth11,Health_Exp11,HDI11,EDI11,CPI11,PSI11,Unemployment11
Myanmar,0.98,3864.95976755573,3864.959768,4.78428985744355,19.31740974,0.534,0.407,1.49,-1.111098,0.894999981
Namibia,12.0,8959.51589253357,8959.515893,3.24811094905522,544.1533897,0.601,0.549,4.43,0.9116575,19.63999939
Nepal,9.0,2052.54719698636,2052.547197,3.31387979486209,34.31938102,0.534,0.451,2.21,-1.416444,1.523000002
Netherlands,91.4199957622284,46599.02103045,46599.02103,1.07862821355482,5645.347849,0.922,0.896,8.89,1.113631,4.977000237
New Zealand,81.23,32734.5366666969,32734.53667,1.55688985601536,3626.029277,0.902,0.901,9.46,1.376731,6.491000175
Nicaragua,10.6,4163.25633536544,4163.256335,4.89434803539939,119.3581616,0.619,0.524,2.53,-0.2697358,6.381000042
Niger,0.9,799.258375990871,799.258376,-1.60598743943126,24.97037431,0.326,0.189,2.54,-0.8780045,0.319000006
Nigeria,13.8,5213.83719396966,5213.837194,2.52532401595037,83.63537907,0.494,0.424,2.45,-1.956455,3.697000027
Norway,93.4899826515194,62076.7406576686,62076.74066,-0.319991951968163,8900.371875,0.943,0.914,8.99,1.337977,3.214999914
Oman,48.0,41942.1205555181,41942.12056,-7.48654831928896,535.3108763,0.795,0.647,4.83,0.4324405,4.433000088
Pakistan,9.0,4094.52711205909,4094.527112,0.553814318718153,28.48985369,0.528,0.37,2.47,-2.810035,0.796000004
Panama,42.7,17099.8188262158,17099.81883,9.3977993587452,619.0647563,0.764,0.662,3.27,-0.0282189,2.311000109
Papua New Guinea,2.0,3069.75809776519,3069.758098,-1.0803504701489,56.75515326,0.517,0.419,2.17,-0.7546774,2.619999886
Paraguay,24.7635158793993,10016.7703711715,10016.77037,2.83438566692755,268.3582582,0.697,0.604,2.22,-0.6925966,4.669000149
Peru,36.01,10626.0771337578,10626.07713,5.4673844908754,264.8194367,0.734,0.678,3.39,-0.7607497,3.441999912
Philippines,29.0,5689.76094098301,5689.760941,1.92077308000145,98.94901729,0.677,0.633,2.64,-1.392182,3.592000008
Poland,61.94999896898,22850.6388460286,22850.63885,4.96078291677343,866.0971191,0.84,0.833,5.48,1.072063,9.631999969
Portugal,55.2499968797194,26769.5118850004,26769.51189,-1.55146928111979,2207.695657,0.827,0.724,6.1,0.7417393,12.67700005
Qatar,69.0,124024.568164572,124024.5682,3.37658972134101,1375.136476,0.845,0.662,7.16,1.174731,0.560000002
Romania,40.0099967810008,17907.6746269812,17907.67463,2.51013094717464,426.6606392,0.798,0.777,3.61,0.1860907,7.177000046
Rwanda,7.0,1486.65547363982,1486.655474,5.2944328622598,52.37445386,0.496,0.44,4.98,-0.1771178,1.093000054
Samoa,11.0,5655.13733388525,5655.137334,3.32875545705295,220.1610117,0.695,0.697,3.88,0.988591,5.679999828
Sao Tome and Principe,20.1612,2612.01014698724,2612.010147,2.04855756503304,88.05805853,0.553,0.466,0.0,0.0078264,13.72299957
Saudi Arabia,47.5,48473.7092080944,48473.70921,6.70398181219392,882.3187084,0.824,0.719,4.39,-0.4647996,5.769999981
Senegal,9.8,2739.33565520458,2739.335655,-1.3101644026393,54.75820395,0.479,0.32,2.87,-0.2806022,10.35999966
Serbia,42.2,13746.9266841334,13746.92668,2.84500869987798,619.1719018,0.772,0.744,3.31,-0.2828821,22.9659996
Seychelles,43.16400446,22556.5825709346,22556.58257,10.7608683503237,391.0399297,0.755,0.655,4.82,0.9377541,0.0
Sierra Leone,0.9,1255.45303814858,1255.453038,3.92404020680459,59.10702295,0.398,0.357,2.46,-0.1684449,3.74000001
Singapore,71.0,76034.3340635206,76034.33406,4.06973859963892,1687.443302,0.914,0.803,9.17,1.191422,3.890000105
Slovenia,67.3399948092396,28931.3837141518,28931.38371,0.652024556510767,2144.995658,0.883,0.878,5.87,0.9692097,8.166000366
Solomon Islands,6.0,2064.59580340548,2064.595803,10.3402445713341,122.7573313,0.532,0.471,2.71,0.3075584,1.898000002
South Africa,33.97,12179.1741881803,12179.17419,1.72071428259082,597.3594478,0.663,0.674,4.08,0.0240316,24.65299988
South Sudan,0.0,3094.90684056547,3094.906841,-7.76701924942273,0.0,0.443,0.333,0.0,-1.430328,12.96899986
Spain,67.0899993926581,31867.9732396862,31867.97324,-1.16619262555828,2898.89693,0.87,0.793,6.23,0.0211045,21.38999939
Sri Lanka,15.0,9155.65879207134,9155.658792,7.6770294351024,119.4628684,0.756,0.743,3.3,-0.7247714,4.110000134
Sudan,17.46,3643.09216091874,3643.092161,7.25566561017192,121.8944565,0.475,0.301,1.56,-2.522917,13.04199982
Suriname,32.0,14788.0679987466,14788.068,4.65317552665307,448.6612407,0.708,0.61,3.03,0.1199753,7.539999962
Sweden,92.7699860554046,44503.6732364594,44503.67324,2.2770546766192,6386.692672,0.906,0.851,9.3,1.230688,7.803999901
Switzerland,85.1930281804854,56183.8216241817,56183.82162,0.568314659074829,9572.171799,0.932,0.88,8.8,1.300342,4.407999992
Tajikistan,13.03,2245.78533483222,2245.785335,5.02707203010443,48.89835113,0.634,0.668,2.27,-1.023234,11.57199955
Thailand,23.669925618731,13537.488341522,13537.48834,0.357024258504126,195.9386472,0.729,0.626,3.38,-1.133534,0.660000026
Togo,3.5,1286.47049660966,1286.470497,3.58717176490761,34.65852785,0.48,0.477,2.38,-0.1625985,1.863000035
Tonga,25.0,5151.45482498474,5151.454825,3.205965319049,168.1062977,0.696,0.729,3.14,0.9377981,1.133999944
Trinidad and Tobago,55.2,30980.4544926655,30980.45449,-0.89362788888026,912.1310069,0.786,0.713,3.17,0.1410804,3.247999907
Tunisia,39.1,10139.1314565661,10139.13146,-2.89085824959695,273.8082509,0.719,0.635,3.76,-0.3537418,18.33399963
Turkey,43.065710430925,19651.6784765047,19651.67848,9.42377119943873,531.6596554,0.759,0.649,4.21,-0.9599971,8.795999527
Turkmenistan,5.0,11212.4865037223,11212.4865,12.7742065955761,276.6516783,0.68,0.625,1.6,0.2341291,3.976000071
Uganda,13.01354333,1679.93785536683,1679.937855,5.96468779503705,53.6802174,0.494,0.487,2.43,-0.9761018,3.595000029
Ukraine,28.7082628400713,8281.86712612352,8281.867126,5.84534174594795,244.0137027,0.737,0.787,2.3,-0.0704315,7.860000134
United Arab Emirates,78.0,56574.2881750551,56574.28818,2.18792077509458,1483.969557,0.826,0.678,6.82,0.9121757,2.493999958
United Kingdom,85.3799985496322,37161.4906866096,37161.49069,0.749525179463745,3500.873155,0.899,0.872,7.78,0.3517076,8.036999702
United States,69.7294607619268,49883.1139837344,49883.11398,0.816231684014994,8165.461327,0.914,0.897,7.14,0.5912473,8.949000359
Uruguay,51.4046610563616,17993.4475354769,17993.44754,4.8606248762658,1223.340085,0.783,0.703,7.04,0.9570969,6.30700016
Uzbekistan,18.6,5502.04902195617,5502.049022,4.9303467365346,84.40768629,0.672,0.681,1.62,-0.5997193,4.960000038
Vanuatu,9.2,2905.90472228551,2905.904722,-1.46406874440679,114.5718934,0.585,0.525,3.53,1.109437,5.888000011
Yemen,14.905,3876.30261880773,3876.302619,-15.1079938863697,64.36103306,0.511,0.343,2.08,-2.426796,13.05799961
Zambia,11.5,3419.01045990353,3419.01046,2.42393403998302,56.91175107,0.541,0.526,3.2,0.5097738,10.19999981
Zimbabwe,8.4,2168.11029336035,2168.110293,12.4528571361864,67.18038954,0.49,0.526,2.23,-0.9453285,5.368000031
